id,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,review_scores_value,calculated_host_listings_count
1796187,Hong Kong Seafront Surf Shack,5632220,Andrew,within a few hours,0.86,0.78,Southern,22.23038,114.25346,Entire home/apt,1,600,3,76,2022/9/5,0.7,350,4.46,1
1832930,Single bed room with green view,4031260,Jen Ai,within an hour,1,0.71,North,22.52314,114.18193,Private room,1,400,7,14,2019/9/4,0.14,284,4.86,2
1887852,Stunning Studio in Causeway Bay (c25c),4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28115,114.15777,Private room,2,217,30,2,2018/12/20,0.02,355,3.5,384
1893093,Studio I Causeway Bay Hong Kong,2767759,Alfred,within a few hours,1,0.94,Wan Chai,22.28102,114.18655,Entire home/apt,2,385,150,1,2015/5/8,0.01,360,4,5
1907254,TWO bedroom apartment @ W.Mid-level ?????€2????????? *??? MTR,4509858,Akiei,,,,Central & Western,22.28323,114.14365,Entire home/apt,4,1162,90,0,,,264,,3
1910193,FLATSHARE in North Point,4584648,Ivy,within a few hours,0.92,0.18,Eastern,22.28853,114.19887,Private room,1,180,30,1,2015/7/25,0.01,365,3,384
1922220,Right smack 'n Central Hong Kong!!,5181284,Peter,within an hour,1,0.86,Central & Western,22.28335,114.15275,Entire home/apt,3,647,20,89,2017/4/30,0.84,91,4.47,2
1944230,3 BR hidden gem over hideaway beach,10056448,Annie,within an hour,1,0.83,Islands,22.29376,114.02168,Entire home/apt,7,1686,9,56,2020/7/28,0.53,250,4.56,2
1971970,Wan Chai  room ---- Available  !!!,4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.27695,114.17563,Private room,1,180,30,1,2015/1/7,0.01,365,3,384
2023516,WANCHAI  Room --  *************,4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.27705,114.17593,Private room,1,180,30,0,,,349,,384
2039863,Newly renovated Unit 5 ?€? Explore like a local,6067974,Wilson,within an hour,1,0.68,Wan Chai,22.28608,114.1912,Entire home/apt,6,1200,28,54,2021/4/8,0.52,85,4.5,52
2079554,Nice room in Shek Tong Tsui,4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28522,114.13643,Private room,2,180,30,1,2014/5/14,0.01,351,4,384
2084693,Bridge and Sea view 2 bedroom Apartment w/ Balcony,10647247,Patrick,within an hour,1,0.5,Sha Tin,22.35852,114.14402,Entire home/apt,4,835,30,30,2019/10/7,0.28,124,4.52,1
